RECORD #(BIBLIO),TITLE,AUTHOR,008 Date One,260|b,260|c,CALL #(BIBLIO),TOT CHKOUT,LOUTDATE
b15632209,Organizational culture and leadership / Edgar H. Schein,"Schein, Edgar H.",1992,"Jossey-Bass,",c1992,HD58.7 .S33 1992,10,9/14/2011 17:38
b28724197,Organizations evolving / Howard E. Aldrich.,"Aldrich, Howard.",1999,"Sage Publications,",1999,HD58.8 .A677 1999,21,2/3/2012 11:35
b22439924,Knowledge for action : a guide to overcoming barriers to organizational change / Chris Argyris,"Argyris, Chris, 1923-",1993,"Jossey-Bass,",c1993,HD58.8 .A744 1993,13,8/26/2011 14:30
b26390036,Organization development : a process of learning and changing / W. Warner Burke.,"Burke, W. Warner (Wyatt Warner), 1935-",1994,"Addison-Wesley Pub. Co.,",c1994.,HD58.8 .B879 1994,11,1/27/2014 11:55
b53607302,"Mergers, acquisitions, and other restructuring activities : an integrated approach to process, tools, cases, and solutions / Donald M. DePamphilis.","DePamphilis, Donald M.",2012,"Academic,",c2012.,HD58.8 .D467 2012,25,4/16/2013 22:44
b5953140x,"Mergers, acquisitions, and other restructuring activities : an integrated approach to process, tools, cases, and solutions / Donald DePamphilis, Ph.D.","DePamphilis, Donald M.",2014,,,HD58.8 .D467 2014,10,4/2/2014 11:52
b2876917x,"Creating value through corporate restructuring : case studies in bankruptcies, buyouts, and breakups / Stuart C. Gilson.","Gilson, Stuart C.",2001,"Wiley,",c2001.,HD58.8 .G555 2001,11,4/9/2014 12:01
b24045342,Only the paranoid survive : how to exploit the crisis points that challenge every company and career / Andrew S. Grove.,"Grove, Andrew S.",1996,"Currency Doubleday,",1996,HD58.8 .G765 1996,26,8/22/2013 15:20
b28765850,Reengineering the corporation : a manifesto for business revolution / Michael Hammer & James Champy.,"Hammer, Michael, 1948-2008.",2001,"HarperBusiness,",c2001.,HD58.8 .H356 2001,16,9/10/2012 11:36
b29754513,"The heart of change : real-life stories of how people change their organizations / John P. Kotter, Dan S. Cohen.","Kotter, John P., 1947-",2002,"Harvard Business School Press,",c2002.,HD58.8 .K645 2002,11,9/11/2013 8:47
b24047247,Leading change / John P. Kotter.,"Kotter, John P., 1947-",1996,"Harvard Business School Press,",c1996.,HD58.8 .K65 1996,17,8/29/2014 13:27
b23941595,"Organizational learning II : theory, method, and practice / Chris Argyris, Donald A. Schû?n.","Argyris, Chris, 1923-",1996,"Addison-Wesley Pub. Co.,",c1996.,HD58.8.A69 O7 1996,14,11/1/2010 14:56
b26997824,"Organizational learning : creating, retaining, and transferring knowledge / by Linda Argote.","Argote, Linda.",1999,"Kluwer Academic,",c1999.,HD58.82 .A73 1999,10,8/26/2011 14:30
b27185886,On organizational learning / Chris Argyris.,"Argyris, Chris, 1923-",1999,"Blackwell Business,",1999,HD58.82 .A734 1999,11,6/6/2012 13:58
b23539203,"Designing organizations : an executive briefing on strategy, structure, and process / Jay R. Galbraith","Galbraith, Jay R.",1995,"Jossey-Bass Publishers,",c1995,HD58.9 .G35 1995,16,2/13/2012 8:58
b29042677,"Designing organizations : an executive guide to strategy, structure, and process / Jay R. Galbraith.","Galbraith, Jay R.",2002,"Jossey-Bass,",2002,HD58.9 .G35 2002,12,6/23/2012 17:31
b22734041,Improving organizational effectiveness through transformational leadership / edited by Bernard M. Bass and Bruce J. Avolio,,1994,"Sage Publications,",c1994,HD58.9 .I473 1994,14,10/8/2012 12:09
b38962780,The ten faces of innovation : IDEO's strategies for beating the devil's advocate & driving creativity throughout your organization / Tom Kelly with Jonathan Littman.,"Kelley, Tom, 1955-",2005,"Currency/Doubleday,",c2005.,HD58.9 .K43 2005,10,9/15/2014 12:47
b12351246,Intelligent enterprise : a knowledge and service based paradigm for industry / James Brian Quinn,"Quinn, James Brian, 1928-2012.",1992,"Free Press  ;""Maxwell Macmillan Canada  "";""Maxwell Macmillan International,""",1992,HD58.9 .Q357 1992,27,1/28/2013 13:48
b12762313,The fifth discipline : the art and practice of the learning organization / Peter M. Senge,"Senge, Peter M.",1990,"Doubleday/Currency,",c1990,HD58.9 .S46 1990,32,6/6/2012 13:58
b27913831,The fifth discipline : the art and practice of the learning organization / Peter M. Senge.,"Senge, Peter M.",1994,"Currency Doubleday,","1994, c1990.",HD58.9 .S46 1994,20,4/1/2011 15:46
b23751307,Reputation : realizing value from the corporate image / Charles J. Fombrun,"Fombrun, Charles J.",1996,"Harvard Business School Press,",c1996,HD59.2 .F66 1996,17,7/10/2013 14:25
b4704164x,Career GPS : strategies for women navigating the new corporate landscape / Ella L.J. Edmondson Bell with Linda Villarosa.,"Bell, Ella L. J. Edmondson, 1949-",2010,"Amistad,",c2010.,HD6054.3 .B45 2010,33,2/7/2014 11:33
b22439821,Women & men in management / Gary N. Powell,"Powell, Gary N.",1993,"Sage Publications,",c1993,HD6054.3 .P69 1993,10,2/20/2014 13:44
b28827909,"Our separate ways : black and white women and the struggle for professional identity / Ella L.J. Edmondson Bell, Stella M. Nkomo.","Bell, Ella L. J. Edmondson, 1949-",2001,"Harvard Business School Press,",c2001.,HD6054.4.U6 B45 2001,18,5/19/2014 11:49
b24004777,Against the gods : the remarkable story of risk / Peter L. Bernstein.,"Bernstein, Peter L.",1996,"John Wiley & Sons,",1996,HD61 .B4666 1996,50,11/8/2013 17:10
b22898037,"The new economics for industry, government, education / W. Edwards Deming","Deming, W. Edwards (William Edwards), 1900-1993.",1993,"Massachusetts Institute of Technology,  Center for Advanced Engineering Study,",c1993,HD62.15 .D46 1993,15,5/28/2014 11:35
b22250992,"Quality is personal : a foundation for total quality management / Harry V. Roberts, Bernard F. Sergesketter","Roberts, Harry V.",1993,"Free Press,",c1993,HD62.15 .R63 1993,14,5/24/2010 15:01
b33947673,"The successful business plan : secrets & strategies / Rhonda Abrams, forward by legendary venture capitalist Eugene Kleiner.","Abrams, Rhonda M.",2003,"ThePlanningshop,",c2003.,HD62.5 .A344 2003,19,3/14/2013 12:24
b27970802,The entrepreneurial venture : readings selected / by William A. Sahlman ... [et al.].,,1999,"Harvard Business School Press,",1999,HD62.5 .E56 1999,14,1/8/2014 11:47
b35957499,"Ten rules for strategic innovators : from idea to execution / Vijay Govindarajan, Chris Trimble.","Govindarajan, Vijay.",2005,"Harvard Business School Press,",c2005.,HD62.5 .G68 2005,10,7/3/2013 13:32
b26992978,The Harvard Entrepreneurs Club guide to starting your own business / Poonam Sharma with chapters contributed by Ngina Duckett ... [et al.].,,1999,"J. Wiley,",c1999.,HD62.5 .H3739 1999,26,7/1/2014 12:07
b40572699,Campus CEO : the student entrepreneur's guide to launching a multimillion-dollar business / Randal Pinkett.,"Pinkett, Randal.",2007,"Kaplan Pub.,",c2007.,HD62.5 .P556 2007,10,8/28/2012 9:02
b50716955,The lean startup : how today's entrepreneurs use continuous innovation to create radically successful businesses / Eric Ries.,"Ries, Eric, 1978-",2011,"Crown Business,",c2011.,HD62.5 .R545 2011,14,7/3/2014 10:58
b27592650,"Financial and strategic management for nonprofit organizations : a comprehensive reference to legal, financial, management, and operations rules and guidelines for nonprofits / Herrington J. Bryce.","Bryce, Herrington J.",2000,"Jossey-Bass Publishers,",c2000.,HD62.6 .B78 2000,11,6/9/2011 10:05
b26827098,"High performance nonprofit organizations : managing upstream for greater impact / Christine Letts, Allen Grossman, William Ryan.","Letts, Christine.",1999,"Wiley,",1999,HD62.6 .L47 1999,10,10/14/2010 11:02
b38547831,The nonprofit sector : a research handbook / edited by Walter W. Powell and Richard Steinberg.,,2006,"Yale University Press,",c2006.,HD62.6 .N67 2006,19,9/10/2013 11:03
b23703544,Strategic management for nonprofit organizations : theory and cases / Sharon M. Oster,"Oster, Sharon M.",1995,"Oxford University Press,",1995,HD62.6 .O87 1995,34,2/24/2012 13:55
b23703544,Strategic management for nonprofit organizations : theory and cases / Sharon M. Oster,"Oster, Sharon M.",1995,"Oxford University Press,",1995,HD62.6 .O87 1995,14,1/21/2010 23:00
b22601764,Managing the professional service firm / David H. Maister,"Maister, David H.",1993,"Free Press  ;""Maxwell Macmillan Canada  "";""Maxwell Macmillan International,""",c1993,HD62.65 .M35 1993,10,5/16/2013 17:02
b12231368,The wisdom of teams : creating the high performance organization / Jon R. Katzenbach and Douglas K. Smith,"Katzenbach, Jon R., 1932-",1993,"Harvard Business School Press,",c1993,HD66 .K384 1993,12,4/29/2014 10:08
b22437241,The team handbook : how to use teams to improve quality / Peter R. Scholtes with contributions by Brian L. Joiner ... [et al.],"Scholtes, Peter R.",1988,"Joiner,",c1988,HD66 .S37 1988,10,8/15/2014 10:58
b27592236,"Brand leadership / David A. Aaker, Erich Joachimsthaler.","Aaker, David A.",2000,"Free Press,",2000,HD69.B7 A215 2000,19,7/16/2014 13:45
b31023538,Building strong brands / David A. Aaker.,"Aaker, David A.",1996,"Free Press,",c1996.,HD69.B7 A216 1996,10,7/16/2014 13:45
b31023447,A new brand world : 8 principles for achieving brand leadership in the 21st century / Scott Bedbury with Stephen Fenichell.,"Bedbury, Scott.",2003,"Penguin,",2003,HD69.B7 B36 2003,13,7/16/2014 13:45
b22555316,"Brand equity & advertising : advertising's role in building strong brands / edited by David A. Aaker, Alexander L. Biel",,1993,"L. Erlbaum Associates,",1993,HD69.B7 B72 1993,20,7/3/2013 13:32
b28608483,Emotional branding   the new paradigm for connecting brands to people / by Marc Gobû?.,"Gobû?, Marc.",2001,"Allworth Press,",c2001.,HD69.B7 G62 2001,12,7/23/2014 17:33
b36507477,Brand royalty : how the world's top 100 brands thrive and survive / Matt Haig.,"Haig, Matt.",2004,"Kogan Page,",c2004.,HD69.B7 H346 2004,12,1/12/2010 19:15
b49935483,Brand success : how the world's top 100 brands thrive and survive / Matt Haig.,"Haig, Matt.",2011,"Kogan Page,",2011,HD69.B7 H346 2011,10,1/3/2014 8:22
b26282847,"Strategic brand management : building, measuring and managing brand equity / Kevin Lane Keller.","Keller, Kevin Lane, 1956-",1998,"Prentice Hall,",c1998.,HD69.B7 K45 1998,108,3/27/2014 14:43
b29783975,"Strategic brand management : building, measuring, and managing brand equity / Kevin Lane Keller.","Keller, Kevin Lane, 1956-",2003,"Prentice Hall,",c2003.,HD69.B7 K45 2003,21,1/14/2014 15:47
b40346912,"Strategic brand management : building, measuring, and managing brand equity / Kevin Lane Keller.","Keller, Kevin Lane, 1956-",2008,"Pearson/Prentice Hall,",c2008.,HD69.B7 K45 2008,23,2/2/2014 21:59
b29898791,Best practice cases in branding : lessons from the world's strongest brands / Kevin Lane Keller.,"Keller, Kevin Lane, 1956-",2003,"Pearson Education/Prentice Hall,",c2003.,HD69.B7 K452 2003,19,1/13/2014 13:25
b15823611,Beyond branding : how savvy marketers build brand equity to create products and open new markets / Joe Marconi,"Marconi, Joe.",1993,"Probus Pub. Co.,",c1993,HD69.B7 M373 1993,11,1/12/2010 19:15
b26806812,Management consulting : a complete guide to the industry / Sugata Biswas and Daryl Twitchell.,"Biswas, Sugata, 1967-",1999,"Wiley,",c1999.,HD69.C6 B537 1999,15,1/31/2013 16:07
b28898783,Management consulting : a complete guide to the industry / Sugata Biswas and Daryl Twitchell.,"Biswas, Sugata, 1967-",2002,"John Wiley,",c2002.,HD69.C6 B537 2002,23,9/23/2013 8:33
b12307427,Flawless consulting : a guide to getting your expertise used / Peter Block   illustrated by Janis Nowlan,"Block, Peter.",1981,"Pfeiffer & Co.,",c1981,HD69.C6 B57 1981,15,3/22/2011 12:17
b49051568,The seven Cs of consulting : the definitive guide to the consulting process / Mick Cope.,"Cope, Mick.",2010,"Pearson,",2010,HD69.C6 C666 2010,10,1/15/2014 16:23
b35276083,"The fast track : the insider's guide to winning jobs in management consulting, investment banking, and securities trading / Mariam Naficy.","Naficy, Mariam, 1970-",1997,"Broadway Books,",c1997.,HD69.C6 N33 1997,23,6/2/2014 11:15
b26134202,Dangerous company : the consulting powerhouses and the businesses they save and ruin / James O'Shea and Charles Madigan.,"O'Shea, James (James E.)",1997,"Times Business,",1997,HD69.C6 O84 1997,15,11/21/2010 20:36
b27606958,Consulting demons : inside the unscrupulous world of global corporate consulting / Lewis Pinault.,"Pinault, Lewis.",2000,"HarperBusiness,",c2000.,HD69.C6 P563 2000,13,10/20/2010 11:10
b23572851,"The 10 hottest counsulting practices : what they are, how to get into them / Ron Tepper","Tepper, Ron, 1937-",1995,"Wiley,",c1995,HD69.C6 T45 1995,10,1/7/2014 12:19
b46185975,"Project management : a managerial approach / Jack R. Meredith, Samuel J. Mantel, Jr.","Meredith, Jack R.",2009,Wiley  ,c2009.,HD69.P75 M559 2009,10,1/28/2014 18:45
b28557773,Managing strategic relationships : the key to business success / Leonard Greenhalgh.,"Greenhalgh, Leonard.",2001,"Free Press,",c2001.,HD69.S8 G74 2001,91,5/11/2014 14:16
b28593662,"In search of excellence : lessons from America's best-run companies / by Thomas J. Peters and Robert H. Waterman, Jr.","Peters, Thomas J.",1984,"Warner Books,","[1984], c1982.",HD70.U5 P424 1984,12,5/7/2012 18:06
b26733912,Economics and the environment / Eban S. Goodstein.,"Goodstein, Eban S., 1960-",1999,"Prentice Hall,",c1999.,HD75.6 .G66 1999,32,4/2/2011 17:05
b26326498,"Cargill : going global / Wayne G. Broehl, Jr.","Broehl, Wayne G.",1998,"University Press of New England,",1998,HD9039.C37 B758 1998,11,1/22/2013 14:28
b29835562,Invisible giant : Cargill and its transnational strategies / Brewster Kneen.,"Kneen, Brewster.",2002,"Pluto Press,",c2002.,HD9039.C37 K58 2002,10,1/16/2014 15:09
b22837280,"Ben & Jerry's, the inside scoop : how two real guys built a business with a social conscience and a sense of humor / Fred  Chico  Lager","Lager, Fred.",1994,"Crown Publishers,",c1994,HD9281.U53 V558 1994,21,12/5/2010 21:48
b24277356,"Ben & Jerry's double-dip : lead with your values and make money, too / Ben Cohen and Jerry Greenfield, with Meredith Maran.","Cohen, Ben (Ben R.)",1997,"Simon & Schuster,",c1997.,HD9281.U54 B463 1997,17,11/22/2010 19:09
b22407455,"For God, country, and Coca-Cola : the unauthorized history of the great American soft drink and the company that makes it / Mark Pendergrast","Pendergrast, Mark.",1993,"Scribner's  ;""Macmillan Canada  "";""Maxwell Macmillan,""",c1993,HD9349.S634 C674 1993,15,1/30/2014 11:47
b26155138,Beer blast : the inside story of the brewing industry's bizarre battles for your money / Philip Van Munching.,"Van Munching, Philip.",1997,"Times Business,",c1997.,HD9397.U52 V36 1997,11,3/29/2014 14:36
b30760549,The smartest guys in the room : the amazing rise and scandalous fall of Enron / Bethany McLean and Peter Elkind.,"McLean, Bethany.",2003,"Portfolio,",2003,HD9502.U54 E5763 2003,13,9/15/2014 19:07
b27185898,"Apple confidential : the real story of Apple Computer, Inc. / Owen W. Linzmayer.","Linzmayer, Owen W.",1999,"No Starch Press :;""Distributed to the book trade by Publishers Group West,""",c1999.,HD9696.2.U64 A674 1999,11,6/11/2011 12:57
b27331891,The new new thing : a Silicon Valley story / Michael Lewis.,"Lewis, Michael (Michael M.)",2000,"W.W. Norton,",c2000.,HD9696.63.U62 C585 2000,16,10/10/2013 11:18
b48799233,The Facebook effect : the inside story of the company that is connecting the world / David Kirkpatrick.,"Kirkpatrick, David, 1953 January 14-",2010,"Simon & Schuster,",2010,HD9696.8.U64 F335 2010,11,9/30/2013 15:30
b36507398,The search : how Google and its rivals rewrote the rules of business and transformed our culture / John Battelle,"Battelle, John, 1965-",2005,"Portfolio,",2005,HD9696.8.U64 G663 2005,24,5/29/2014 15:21
b46831848,"Modû?le Google, une rû?volution du management. English;""The Google way : how one company is revolutionizing management as we know it / Bernard Girard.""","Girard, Bernard.",2009,"No Starch Press,",c2009.,HD9696.8.U64 G66513 2009,10,9/23/2012 21:25
b26835496,"AppleDesign : the work of the Apple Industrial Design Group / Paul Kunkel   photographs, Rick English.","Kunkel, Paul.",1997,"Graphis Inc.,",c1997.,HD9696.C64 A8653 1997,13,11/21/2011 14:56
b23621254,"Microsoft secrets : how the world's most powerful software company creates technology, shapes markets, and manages people / Michael A. Cusumano, Richard W. Selby","Cusumano, Michael A., 1954-",1995,"Free Press,",c1995,HD9696.C64 M533 1995,18,11/6/2013 11:54
b12292199,The new GE : how Jack Welch revived an American institution / Robert Slater,"Slater, Robert, 1943-2014.",1993,"Business One Irwin,",c1993,HD9697.A3 U568 1993,14,8/22/2011 16:22
b22672849,Control your destiny or someone else will : how Jack Welch is making General Electric the world's most competitive corporation / Noel M. Tichy and Stratford Sherman,"Tichy, Noel M.",1993,"Doubleday,",c1993,HD9697.A3 U575 1993,11,4/17/2014 15:16
b22669693,U.S.-Japan automobile diplomacy  a study in economic confrontation,"Duncan, William Chandler.",1973,Ballinger Pub. Co.,[1973],HD9710.J32 D86,13,2/21/2010 20:36
b22598571,"Ketsudan. English;""Toyota : fifty years in motion : an autobiography / by Eiji Toyoda""","Toyoda, Eiji, 1913-2013.",1987,"Kodansha International,",c1987,HD9710.J32 T66813 1987,16,1/30/2012 10:52
b2285843x,Honda's global local corporation / Andrew Mair,"Mair, Andrew.",1994,"St. Martin's Press,",1994,HD9710.J34 H65435 1994,13,5/4/2011 11:15
b27864261,From alchemy to IPO : the business of biotechnology / Cynthia Robbins-Roth.,"Robbins-Roth, Cynthia.",2000,"Perseus,",c2000.,HD9999.B44 R62 2000,24,9/23/2012 17:01
b38962135,"Science business : the promise, the reality, and the future of biotech / Gary P. Pisano.","Pisano, Gary P.",2006,"Harvard Business School Press,",c2006.,HD9999.B442 P57 2006,11,8/3/2013 15:59
b22754714,Soap opera : the inside story of Procter & Gamble / Alecia Swasy,"Swasy, Alecia.",1993,"Times Books,",c1993,HD9999.S74 P7674 1993,10,9/2/2010 11:36
b23710408,"The road ahead / Bill Gates with Nathan Myhrvold, and Peter Rinearson","Gates, Bill, 1955-",1995,"Viking,",1995,HE7572.U6 G38 1995,16,2/28/2012 18:14
b24204183,Nuts! : Southwest Airlines' crazy recipe for business and personal success / Kevin Freiberg and Jackie Freiberg   foreword by Tom Peters.,"Freiberg, Kevin, 1958-",1996,"Bard Books,",c1996.,HE9803.S68 F74 1996,14,11/26/2011 13:14
